instance_id,id,organization_type
legends_base,gov_gray,Government
legends_base,gov_brown,Government
legends_base,gov_blue,Government
legends_base,gov_violet,Government
legends_base,gov_green,Government
legends_base,gov_red,Government
legends_base,gov_aqua,Government
legends_base,gov_orange,Government
legends_base,gov_indigo,Government
legends_base,gov_yellow,Government
legends_base,gov_darkred,Government
legends_base,gov_orangered,Government
legends_base,gov_pink,Government
legends_base,gov_lightgreen,Government
legends_base,gov_aquamarine,Government